gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3450217384,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.260145,3.279873,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217383,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.255247,3.648762,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217382,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.262829,3.020626,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217381,2016.0,9.0,family,Delphinidae,41.256389,3.575203,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,
3450217380,2016.0,10.0,species,"Tursiops truncatus (Montagu, 1821)",41.284358,2.772237,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Tursiops truncatus
3450217379,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.228185,5.197598,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217377,2016.0,9.0,order,Cetacea,41.222899,5.514741,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates;taxon_match_scientific_name_id_ignored,no asignado,
3450217373,2016.0,9.0,species,"Tursiops truncatus (Montagu, 1821)",41.299237,2.642118,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Tursiops truncatus
3450217372,2016.0,7.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.261367,2.953499,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217371,2014.0,8.0,family,Delphinidae,41.246397,4.222707,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,
3450217369,2016.0,7.0,species,"Ziphius cavirostris G.Cuvier, 1823",41.258785,3.082667,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Ziphius cavirostris
3450217368,2016.0,7.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.261367,2.953499,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217367,2016.0,7.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.257803,3.379181,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217356,2014.0,8.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.268408,2.62949,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217355,2016.0,7.0,species,"Ziphius cavirostris G.Cuvier, 1823",41.264148,2.867595,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Ziphius cavirostris
3450217352,2014.0,8.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.259665,3.091841,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217348,2014.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.251677,4.069646,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Balaenoptera physalus
3450217346,2014.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.255098,3.346217,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Balaenoptera physalus
3450217345,2014.0,8.0,family,Delphinidae,41.25258,3.842532,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,
3450217344,2014.0,8.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.259665,3.091841,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217343,2014.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.256876,3.25796,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Balaenoptera physalus
3450217342,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.295121,2.588189,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217340,2014.0,8.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.26348,2.874884,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217339,2014.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.259758,3.091059,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Balaenoptera physalus
3450217338,2014.0,8.0,species,"Physeter macrocephalus Linnaeus, 1758",41.265321,2.75101,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Physeter macrocephalus
3450217337,2016.0,10.0,family,Delphinidae,41.285249,2.861423,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,
3450217334,2016.0,10.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.29455,3.269157,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217331,2016.0,10.0,species,"Tursiops truncatus (Montagu, 1821)",41.280361,2.883578,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Tursiops truncatus
3450217330,2016.0,10.0,family,Delphinidae,41.281434,3.128028,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,
3450217328,2016.0,10.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.281286,3.15397,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217327,2016.0,10.0,species,"Tursiops truncatus (Montagu, 1821)",41.280361,2.883578,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Tursiops truncatus
3450217326,2016.0,10.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.281286,3.15397,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217325,2016.0,10.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.28081,3.215465,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217324,2016.0,10.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.28081,3.215465,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217316,2016.0,10.0,species,"Grampus griseus (G.Cuvier, 1812)",41.278273,3.651778,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Grampus griseus
3450217310,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.288487,2.99492,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217309,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.303103,5.009761,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3450217307,2016.0,9.0,species,"Stenella coeruleoalba (Meyen, 1833)",41.288743,3.027529,,,desconocido,desconocido,geodetic_datum_assumed_wgs84;footprint_wkt_invalid;country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3448670235,2019.0,12.0,genus,"Tursiops Gervais, 1855",28.133132,-16.440506,2019-12-04 11:00:00+00:00,5.0,punta de los abades,"canarias, canary islands",continent_derived_from_coordinates;taxon_match_taxon_concept_id_ignored,canarias,Tursiops Gervais
